,word_score_impact,word
0,0.6186079252158124,_p
1,1.2122341119425768,aa
2,0.5853874894864015,aab
3,0.30243169017298327,aadditional
4,0.17421872937138982,aafno
5,0.18479238657010438,aah
6,0.18551203620308554,aaid
7,0.26600357869133595,aaini
8,0.4546192519807202,aak
9,0.17860656748712392,aake
10,0.0,aal
11,0.7119615692836574,aaliyah
12,0.504524002280686,aalto
13,0.0,aamovement
14,0.5013286483713371,aand
15,0.0,aaptzr
16,0.19875753450081637,aardvark
17,0.2425241941709007,aargh
18,0.0,aarielle
19,2.0747169732584134,aaron
20,2.0193549494691156,aarp
21,0.7496695680670457,aasddfghjjnnmkjhfdsadghjhj
22,0.7482622670238372,aashirwad
23,0.41994756891507423,aask
24,0.0,aasume
25,0.23408701656143505,aatche
26,0.0,aave
27,0.5443127004057005,aawway
28,2.186862205204038,ab
29,10.567831077875919,aback
30,0.21317095184026255,abacus
31,0.31895862510812617,abad
32,0.17421872937138982,abadekhi
33,2.8591456129346486,abalone
34,12.943988968239417,abandon
35,0.1573395035597277,abandone
36,0.0,abandoned
37,0.5752079150349462,abandonment
38,0.30166185926498906,abashment
39,0.15278884090273914,abate
40,0.6615958928963206,abattoir
41,0.0,abaut
42,0.40059577647370836,abbatoir
43,0.0,abbe
44,0.31489981738567935,abberation
45,1.6875488682977686,abbey
46,0.2787255662441319,abblebee
47,0.4017798502653209,abbot
48,0.26957771181721685,abbotsford
49,0.0,abbott
50,0.0,abbottsford
51,0.39555755652708346,abboud
52,2.058294049190333,abbreviate
53,0.5017817593523768,abbreviation
54,0.24085348276633875,abby
55,0.0,abc
56,0.19423612514324512,abcd
57,0.299259770714065,abcs
58,1.5089846283570114,abd
59,0.18319142792369555,abdoman
60,0.11822635517242512,abdomen
61,0.6728212775547746,abdominal
62,0.8519801446735609,abdominal_cramp
63,1.9010362354243289,abdominal_pain
64,0.7778915024286792,abduct
65,0.20128413404541085,abduct_alien
66,0.0,abduction
67,0.13968859223400598,abductor
68,0.2636036966806012,abe
69,0.8836464968112879,abe_louie
70,0.2030434543657958,abeed
71,0.7031035096138407,abel
72,0.0,abend
73,0.0,abercombie
74,0.982827916649706,abercrombie
75,1.891598041215161,aberdeen
76,0.1724201436496686,abernathy
77,2.5708807613808498,aberration
78,0.48350821060695426,aberus
79,0.0,abet
80,0.0,abeulos
81,0.5170361622089636,abg
82,0.8478852217827705,abgb
83,0.0,abgeholt
84,0.16703469418910472,abhiruchi
85,1.673866305486771,abhor
86,0.36097597293799216,abhorable
87,0.15587483966584315,abhorent
88,0.0,abhorrant
89,4.676276252959232,abhorrent
90,0.6400436413474777,abhorrently
91,0.5459215342210623,abi
92,0.2729622715853701,abiance
93,0.0,abidance
94,4.289080094700853,abide
95,0.526678326059552,abigail
96,0.0,abilify
97,25.162036782782756,ability
98,1.1087462031925395,abismal
99,0.7740774894182607,abit
100,0.6745099504800378,abita
101,0.28811072226889994,abive
102,0.2670273470318716,abject
103,0.14905088320661775,abjectly
104,0.16101618849382843,ablaze
